,address,price,price_change,area,list_fee,sold_date,price_sqm,sqm,rooms,Hiss,Uteplats,Nyproduktion,Balkong
1571,"Alströmergatan 9, 4 tr",3100000,-0.03,Fridhemsplan,1665.0,2022-10-05,110714,28,1,1,0,0,1
1572,"Robert Almströmsgatan 9B, 2tr",6325000,,Vasastan - Birkastan,2435.0,2022-10-05,117130,54,2,1,0,0,1
1573,Tjustgatan 5,4225000,0.14,Katarina,1591.0,2022-10-05,79717,53,2,1,0,0,0
1574,"Västmannagatan 17C, 5 tr",9100000,,Vasastan,2966.0,2022-10-05,119737,76,3,1,0,0,0
1575,"Tegnérgatan 19, 5tr",3440000,0.15,Vasastan - City/Norrmalm,1337.0,2022-10-05,118621,29,1,1,0,0,0
1576,"Sankt Eriksgatan 55 A, 4 tr (gårdshuset)",2495000,0.0,Kungsholmen,1218.0,2022-10-05,113409,22,1,1,0,0,1
1577,"Sysslomansgatan 22, 3 Tr",3180000,0.1,Kungsholmen,2154.0,2022-10-05,90857,35,1.5,1,0,0,1
1578,"Lilla Erstagatan 4, 4 / 5 tr!",45000000,0.5,Södermalm - Sofia,6262.0,2022-10-05,302013,149,4,1,0,0,1
1579,Ola Hanssonsgatan 9,3060000,0.09,Kristineberg,2220.0,2022-10-05,92727,33,2,0,0,0,1
1580,"Tegelviksgatan 47, 4 / 5 tr!",6750000,0.02,Södermalm - Norra Hammarbyhamnen,4939.0,2022-10-05,83333,81,3,1,0,0,1
1581,Robert Almströmsgatan 12,5100000,0.09,Vasastan,2261.0,2022-10-05,127500,40,2,1,0,0,1
1582,"Warfvinges Väg 18, 13 tr",6500000,0.0,Kungsholmen - Stadshagen,4525.0,2022-10-05,82803,"78,5",3,1,0,0,1
1583,Alströmergatan 49,2800000,,Kungsholmen,1933.0,2022-10-05,103704,27,1,1,0,0,0
1584,"Östgötagatan 87 B, 2 tr",3950000,0.13,Södermalm - SoFo,1319.0,2022-10-05,94048,42,1.5,1,0,0,0
